Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_13,1,0.9484,0.7971,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.86
dataset_13,2,0.9508,0.8144,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.72
dataset_13,3,0.9544,0.8145,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.87
dataset_13,4,0.976,0.9254,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.89
dataset_13,5,0.9388,0.7583,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",11.08
dataset_13,6,0.9448,0.8069,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",12.6
dataset_13,7,0.9556,0.841,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.96
dataset_13,8,0.9508,0.8726,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.79
dataset_13,9,0.9508,0.8413,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",10.58
dataset_13,10,0.952,0.8763,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",12.68
