Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_10,1,0.9232,0.442,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",13.3
dataset_10,2,0.9208,0.4313,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",14.25
dataset_10,3,0.934,0.4916,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",13.08
dataset_10,4,0.922,0.4648,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",10.9
dataset_10,5,0.9196,0.4839,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",13.31
dataset_10,6,0.9196,0.4837,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",13.03
dataset_10,7,0.9412,0.4459,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",13.06
dataset_10,8,0.9376,0.4808,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",13.02
dataset_10,9,0.9208,0.437,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",10.81
dataset_10,10,0.9208,0.432,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",13.29
