Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_15,1,0.9628,0.7964,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",13.26
dataset_15,2,0.9832,0.9001,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.88
dataset_15,3,0.9628,0.8565,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.89
dataset_15,4,0.964,0.8162,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",12.96
dataset_15,5,0.958,0.825,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.96
dataset_15,6,0.9652,0.8062,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.83
dataset_15,7,0.9532,0.8345,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",12.75
dataset_15,8,0.9568,0.8334,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.89
dataset_15,9,0.9616,0.8241,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.69
dataset_15,10,0.97,0.89,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",13.1
