Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_9,1,0.9664,0.8901,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",13.25
dataset_9,2,0.9676,0.8226,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",13.08
dataset_9,3,0.9604,0.8155,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",13.16
dataset_9,4,0.9508,0.8288,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",10.99
dataset_9,5,0.946,0.7255,5,euclidean,"{'metric': 'euclidean', 'n_neighbors': 5}",11.0
dataset_9,6,0.9448,0.7104,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",13.02
dataset_9,7,0.9676,0.8719,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.95
dataset_9,8,0.9628,0.864,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.87
dataset_9,9,0.9628,0.8103,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.91
dataset_9,10,0.952,0.7812,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",14.51
