Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_6,1,0.9906,0.9748,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.4
dataset_6,2,0.9854,0.9553,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",1.97
dataset_6,3,0.9896,0.9848,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.44
dataset_6,4,0.9854,0.9756,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",1.97
dataset_6,5,0.9833,0.9738,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",1.73
dataset_6,6,0.9781,0.9691,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",1.69
dataset_6,7,0.9896,0.9852,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.64
dataset_6,8,0.9885,0.9726,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.69
dataset_6,9,0.9833,0.9748,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",1.65
dataset_6,10,0.9864,0.9818,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.56
