Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_5,1,0.9906,0.9748,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.23
dataset_5,2,0.9854,0.9553,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",2.25
dataset_5,3,0.9896,0.9848,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.28
dataset_5,4,0.9854,0.9756,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",2.42
dataset_5,5,0.9833,0.9738,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",2.25
dataset_5,6,0.9781,0.9691,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",2.25
dataset_5,7,0.9896,0.9852,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.28
dataset_5,8,0.9885,0.9726,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.37
dataset_5,9,0.9833,0.9748,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",2.37
dataset_5,10,0.9864,0.9818,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.4
