Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_11,1,0.8571,0.2183,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",13.22
dataset_11,2,0.8523,0.1963,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",13.02
dataset_11,3,0.8391,0.1613,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",13.03
dataset_11,4,0.8463,0.2017,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.88
dataset_11,5,0.8379,0.1731,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",10.86
dataset_11,6,0.8499,0.2156,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",10.66
dataset_11,7,0.8619,0.1999,9,euclidean,"{'metric': 'euclidean', 'n_neighbors': 9}",10.79
dataset_11,8,0.8523,0.1762,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",10.7
dataset_11,9,0.8307,0.1604,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",10.66
dataset_11,10,0.8475,0.1857,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",12.78
