Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_12,1,0.7935,0.0914,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",13.04
dataset_12,2,0.8115,0.1321,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",12.83
dataset_12,3,0.8055,0.0962,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",10.78
dataset_12,4,0.7935,0.0785,7,euclidean,"{'metric': 'euclidean', 'n_neighbors': 7}",10.62
dataset_12,5,0.7959,0.1126,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",12.95
dataset_12,6,0.8127,0.1016,11,euclidean,"{'metric': 'euclidean', 'n_neighbors': 11}",10.64
dataset_12,7,0.8175,0.1333,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",12.84
dataset_12,8,0.8127,0.1108,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",12.85
dataset_12,9,0.7983,0.0912,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",12.89
dataset_12,10,0.8067,0.1113,11,manhattan,"{'metric': 'manhattan', 'n_neighbors': 11}",12.88
