Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_2,1,0.9583,0.5917,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",3.02
dataset_2,2,0.9447,0.5444,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",2.99
dataset_2,3,0.9552,0.5204,9,manhattan,"{'metric': 'manhattan', 'n_neighbors': 9}",2.07
dataset_2,4,0.9478,0.5301,9,euclidean,"{'metric': 'euclidean', 'n_neighbors': 9}",1.66
dataset_2,5,0.953,0.5836,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",1.82
dataset_2,6,0.9656,0.6226,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.85
dataset_2,7,0.952,0.5778,3,euclidean,"{'metric': 'euclidean', 'n_neighbors': 3}",1.61
dataset_2,8,0.9635,0.5884,5,manhattan,"{'metric': 'manhattan', 'n_neighbors': 5}",2.16
dataset_2,9,0.953,0.5901,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",2.18
dataset_2,10,0.9541,0.5243,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",3.07
