Dataset,Fold,Accuracy,F1,Best_K,Best_Metric,Parameters,Fold_Time_Seconds
dataset_8,1,0.9875,0.7303,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.56
dataset_8,2,0.9875,0.73,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.67
dataset_8,3,0.9906,0.9826,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.62
dataset_8,4,0.9885,0.9674,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.63
dataset_8,5,0.9843,0.9794,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.6
dataset_8,6,0.9843,0.7308,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.65
dataset_8,7,0.9864,0.7378,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",1.58
dataset_8,8,0.9916,0.7427,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.74
dataset_8,9,0.9854,0.7237,7,manhattan,"{'metric': 'manhattan', 'n_neighbors': 7}",1.75
dataset_8,10,0.9875,0.9836,3,manhattan,"{'metric': 'manhattan', 'n_neighbors': 3}",1.56
